car_type,fuel_usage,gear_type
Hatchback,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
About,Us,Terms
Sedan,Petrol,automatic
Mpv,Petrol,automatic
Sedan,Petrol,automatic
Hatchback,Petrol,manual
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Pickup,Petrol,manual
Suv,Petrol,automatic
Mpv,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
About,Us,Terms
Suv,Petrol,automatic
Mpv,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
Suv,Petrol,automatic
About,Us,Terms
Truck,Petrol,manual
Sedan,Petrol,automatic
About,Us,Terms
About,Us,Terms
About,Us,Terms
Sedan,Petrol,automatic
Suv,Petrol,automatic
Mpv,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
About,Us,Terms
Sedan,Petrol,automatic
Sedan,Petrol,manual
Suv,Petrol,automatic
About,Us,Terms
Hatchback,Petrol,automatic
Mpv,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Mpv,Petrol,automatic
About,Us,Terms
Mpv,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,manual
Hatchback,Petrol,manual
Petrol,manual,
Sedan,Petrol,automatic
Sedan,Petrol,manual
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
About,Us,Terms
Mpv,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,automatic
About,Us,Terms
Truck,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
About,Us,Terms
Sedan,Petrol,automatic
Hatchback,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,automatic
Sedan,Petrol,manual
Suv,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,automatic
Mpv,Petrol,automatic
About,Us,Terms
Hatchback,Petrol,automatic
Sedan,Petrol,automatic
Coupe,Petrol,automatic
Sedan,Petrol,automatic
Suv,Petrol,automatic
Sedan,Petrol,manual
